clip_id,original_youtube_url,uploader,start_time,end_time,level,note
A001,https://www.youtube.com/watch?v=7XKd8T0UzBU&t,Tyson Liberto,0:01:00,0:01:40,1,搬家、课程
A002,https://www.youtube.com/watch?v=Lv3PgnKr33c,Tyson Liberto,0:03:58,0:06:38,4,你不能拥有是因为你不够想要
A003,https://www.youtube.com/watch?v=DzPAOP-SLHM&t,michelle Choi,0:00:32,0:01:22,2,做饭，很多饭的名字
A004,https://www.youtube.com/watch?v=47mPweCSH1U,jenn im,0:01:40,0:02:45,2,学习创作的一小步
A005,https://www.youtube.com/watch?v=47mPweCSH1U&t,jenn im,0:04:41,0:05:32,2,执行力和逃避的恶性循环问题
A006,https://www.youtube.com/watch?v=47mPweCSH1U&t,jenn im,0:14:09,0:15:10,1,晚上准备参加一些活动
A007,https://www.youtube.com/watch?v=d1Lnp08XTSk,emma chamberlain,0:17:01,0:17:28,2,逛街被跟很不舒服
A008,https://www.youtube.com/watch?v=d1Lnp08XTSk,emma chamberlain,0:27:09,0:27:42,2,内向人充电
A009,https://www.youtube.com/watch?v=d1Lnp08XTSk,emma chamberlain,0:30:47,0:31:24,2,本来要去派对但太累了
A010,https://www.youtube.com/watch?v=TCa-Apn6y6g,Sydney Serena,0:00:15,0:00:59,2,社媒让我感到疲惫
A011,https://www.youtube.com/watch?v=TCa-Apn6y6g,Sydney Serena,0:04:58,0:05:18,1,晒太阳对你身体好
A012,https://www.youtube.com/watch?v=TCa-Apn6y6g,Sydney Serena,0:05:25,0:06:05,1,我喜欢观察路人
A013,https://www.youtube.com/watch?v=TCa-Apn6y6g,Sydney Serena,0:09:13,0:09:44,2,冬天的家常饭让我舒适
A014,https://www.youtube.com/watch?v=9Pt-SmtmS4w,Sydney Serena,0:04:12,0:04:47,1,介绍咖啡
A015,https://www.youtube.com/watch?v=9Pt-SmtmS4w,Sydney Serena,0:05:23,0:05:50,1,集市里瞎逛
A016,https://www.youtube.com/watch?v=9Pt-SmtmS4w,Sydney Serena,0:08:49,0:09:21,1,准备去滑冰
A017,https://www.youtube.com/watch?v=re7W5w81Rq8,Birta Hlin,0:13:46,0:14:20,1,打算去逛旧货店
A018,https://www.youtube.com/watch?v=re7W5w81Rq8,Birta Hlin,0:15:22,0:15:35,1,介绍新淘的衣服
A019,https://www.youtube.com/watch?v=veY2jXSxpoo,Birta Hlin,0:00:28,0:01:14,1,今天的安排是普拉提和美甲
A020,https://www.youtube.com/watch?v=veY2jXSxpoo,Birta Hlin,0:01:33,0:02:00,1,今日穿搭介绍
A021,https://www.youtube.com/watch?v=veY2jXSxpoo,Birta Hlin,0:02:37,0:03:02,1,美甲灵感
A022,https://www.youtube.com/watch?v=veY2jXSxpoo,Birta Hlin,0:03:21,0:04:07,1,突然很想吃东西
A023,https://www.youtube.com/watch?v=_75CQJAKgBo,Birta Hlin,0:01:01,0:02:04,2,做一份藜麦粥
A024,https://www.youtube.com/watch?v=_75CQJAKgBo,Birta Hlin,0:02:36,0:03:33,2,做下周的计划
A025,https://www.youtube.com/watch?v=_75CQJAKgBo,Birta Hlin,0:12:08,0:12:37,1,打算去上课
A026,https://www.youtube.com/watch?v=aSepFlizrHw,Annika,0:10:52,0:11:33,3,运动有利于保持高效
A027,https://www.youtube.com/watch?v=aSepFlizrHw,Annika,0:01:58,0:02:42,3,早起会给你正面感受
A028,https://www.youtube.com/watch?v=aSepFlizrHw,Annika,0:13:33,0:14:46,4,冬天和姨妈让我焦虑严重
A029,https://www.youtube.com/watch?v=aSepFlizrHw,Annika,0:20:01,0:21:16,4,爱好对生活的好处
A030,https://www.youtube.com/watch?v=MC3QJVxRcT0,Annika,0:00:32,0:01:39,3,无
A031,https://www.youtube.com/watch?v=MC3QJVxRcT0,Annika,0:16:24,0:16:49,2,无
A032,https://www.youtube.com/watch?v=MC3QJVxRcT0,Annika,0:25:47,0:26:19,2,无
A033,https://www.youtube.com/watch?v=8e4aHI9Puro,Sydney Serena,0:04:42,0:05:31,2,重回第一次vlog的地方
A034,https://www.youtube.com/watch?v=8e4aHI9Puro,Sydney Serena,0:10:38,0:11:08,1,和爸爸去购物
A035,https://www.youtube.com/watch?v=y0G6DPz8HEU,Sydney Serena,0:06:24,0:07:06,2,出了图书馆偶遇集市
A036,https://www.youtube.com/watch?v=GyxkXAAEp9E,Jonna Jinton,0:01:30,0:02:01,1,看看小鹿有没有吃东西
A037,https://www.youtube.com/watch?v=GyxkXAAEp9E,Jonna Jinton,0:13:54,0:14:51,2,冬天没准备开始是ok的
A038,https://www.youtube.com/watch?v=1ohtJK9eWyA,michelle Choi,0:02:10,0:02:44,2,化妆准备去做头发
A039,https://www.youtube.com/watch?v=1ohtJK9eWyA,michelle Choi,0:08:29,0:08:54,1,宠物喜欢咬毯子
A040,https://www.youtube.com/watch?v=1ohtJK9eWyA,michelle Choi,0:09:29,0:09:55,1,推荐25年喜欢的外套
A041,https://www.youtube.com/watch?v=EmqzGK2FwuI,michelle Choi,0:00:23,0:01:02,1,准备单身派对
A042,https://www.youtube.com/watch?v=EmqzGK2FwuI,michelle Choi,0:03:15,0:04:05,1,煮火锅
A043,https://www.youtube.com/watch?v=zLlWBOkU0PA,emma chamberlain,0:00:32,0:02:02,3,讨厌过生日
A044,https://www.youtube.com/watch?v=oqYIu4rK_CY,emma chamberlain,0:00:32,0:01:59,3,害怕坐飞机
A045,https://www.youtube.com/watch?v=kXvCgeCMYvY,jenn im,0:00:16,0:00:49,1,天蝎座
A046,https://www.youtube.com/watch?v=kXvCgeCMYvY,jenn im,0:07:08,0:08:00,2,舍弃一些想法
A047,https://www.youtube.com/watch?v=E4rwtuJT3KM,jenn im,0:00:28,0:01:39,3,姨妈期的不同阶段
A048,https://www.youtube.com/watch?v=E4rwtuJT3KM,jenn im,0:02:33,0:03:30,3,喜欢舒适的衣服
A049,https://www.youtube.com/watch?v=E4rwtuJT3KM,jenn im,0:06:07,0:07:18,3,学会独自冒险
A050,https://www.youtube.com/watch?v=E4rwtuJT3KM,jenn im,0:07:45,0:09:23,4,学会停下来
A051,https://www.youtube.com/watch?v=E4rwtuJT3KM,jenn im,0:10:02,0:11:49,4,友情
A052,https://www.youtube.com/watch?v=E4rwtuJT3KM,jenn im,0:11:50,0:12:42,4,寻求帮助
A053,https://www.youtube.com/watch?v=YG8-5uovSlI,Claudia Sulewski,0:01:02,0:01:35,1,介绍架子
A054,https://www.youtube.com/watch?v=YG8-5uovSlI,Claudia Sulewski,0:16:34,0:17:04,2,准备化妆
A055,https://www.youtube.com/watch?v=YG8-5uovSlI,Claudia Sulewski,0:20:36,0:21:30,2,狗狗手术
A056,https://www.youtube.com/watch?v=YG8-5uovSlI,Claudia Sulewski,0:28:08,0:29:00,2,万圣节装扮
A057,https://www.youtube.com/watch?v=wi7zrZl5R-c,Hannah Elise,0:01:49,0:01:56,2,秋天执行习惯
A058,https://www.youtube.com/watch?v=wi7zrZl5R-c,Hannah Elise,0:07:36,0:08:27,4,做好一周饮食计划的好处
A059,https://www.youtube.com/watch?v=wi7zrZl5R-c,Hannah Elise,0:22:39,0:23:42,4,准备看心理医生
A060,https://www.youtube.com/watch?v=yYJrTDvG0jI,Hannah Elise,0:11:41,0:12:53,4,给猫安乐死
A061,https://www.youtube.com/watch?v=yYJrTDvG0jI,Hannah Elise,0:28:49,0:30:12,4,给有声书打五分
A062,https://www.youtube.com/watch?v=99LZwjyk-pg,Taylor Bell,0:00:39,0:01:11,2,皇后区打卡
A063,https://www.youtube.com/watch?v=N5sCh47phzM,Taylor Bell,0:00:00,0:01:09,4,宜家介绍
A064,https://www.youtube.com/watch?v=ld-KsEug3xI,Taylor Bell,0:00:22,0:00:51,2,准备搬家
A065,https://www.youtube.com/watch?v=ld-KsEug3xI,Taylor Bell,0:04:56,0:05:19,2,纽约居住推荐
A066,https://www.youtube.com/watch?v=iISSqSp0x3w,Amanda Ekstrand,0:00:37,0:01:22,2,新学期要来了
A067,https://www.youtube.com/watch?v=iISSqSp0x3w,Amanda Ekstrand,0:03:55,0:05:42,2,新学期准备（上）
A068,https://www.youtube.com/watch?v=iISSqSp0x3w,Amanda Ekstrand,0:05:43,0:08:07,3,新学期准备（中）
A069,https://www.youtube.com/watch?v=iISSqSp0x3w,Amanda Ekstrand,0:08:35,0:09:35,3,新学期准备（下）
A070,https://www.youtube.com/watch?v=9v-YNEvY0ig,Amanda Ekstrand,0:00:28,0:01:17,2,准备买新的护理用品
A071,https://www.youtube.com/watch?v=9v-YNEvY0ig,Amanda Ekstrand,0:09:43,0:10:05,1,买完东西了
A072,https://www.youtube.com/watch?v=QkV9s6ZZFPI,Amanda Ekstrand,0:04:52,0:05:13,1,制作闪卡
A073,https://www.youtube.com/watch?v=QkV9s6ZZFPI,Amanda Ekstrand,0:06:53,0:07:19,1,蛀牙了
A074,https://www.youtube.com/watch?v=QkV9s6ZZFPI,Amanda Ekstrand,0:09:14,0:09:53,2,剪完头发买喝的
A075,https://www.youtube.com/watch?v=S5s1EiPOniY,Allison Anderson,0:01:21,0:02:03,3,早起打开窗帘让我惊讶
A076,https://www.youtube.com/watch?v=81WdRlLAfmw,Allison Anderson,0:00:26,0:01:28,3,介绍赞比亚和旅店
A077,https://www.youtube.com/watch?v=81WdRlLAfmw,Allison Anderson,0:04:16,0:05:07,3,今晚要在星空床睡觉
A078,https://www.youtube.com/watch?v=Es9X1du3SVM,Allison Anderson,0:00:00,0:00:42,2,第一次来芝加哥
A079,https://www.youtube.com/watch?v=Es9X1du3SVM,Allison Anderson,0:06:44,0:07:23,4,芝加哥的观景地点
A080,https://www.youtube.com/watch?v=RKx_7Xdk8ig,Allison Anderson,0:01:09,0:01:56,3,奥林匹克公园有很多可以玩的地方
A081,https://www.youtube.com/watch?v=RKx_7Xdk8ig,Allison Anderson,0:04:42,0:05:18,3,喜欢公路旅行
A082,https://www.youtube.com/watch?v=CykYoS1LftQ,Ali Abdaal,0:00:05,0:01:41,3,生产力坐标
A083,https://www.youtube.com/watch?v=mkAi-GkhvyA,Hailey Rhode Bieber,0:01:38,0:02:34,3,lori过圣诞节
A084,https://www.youtube.com/watch?v=bwDiG5d2a2Y,Hailey Rhode Bieber,0:00:00,0:01:17,4,海莉介绍厨房
A085,https://www.youtube.com/watch?v=Egs8T_Xu9EE,Hailey Rhode Bieber,0:03:26,0:04:37,3,创业故事
A086,https://www.youtube.com/watch?v=Egs8T_Xu9EE,Hailey Rhode Bieber,0:04:37,0:05:24,3,平衡的秘诀就是接受混乱
A087,https://www.youtube.com/watch?v=Egs8T_Xu9EE,Hailey Rhode Bieber,0:05:30,0:06:35,3,保持自己很难找到内心的平和
A088,https://www.youtube.com/watch?v=VHR3mW5e_Pg,Hailey Rhode Bieber,0:01:50,0:02:38,3,讨厌情人节
A089,https://www.youtube.com/watch?v=VHR3mW5e_Pg,Hailey Rhode Bieber,0:08:01,0:08:45,3,独立的重要性
A090,https://www.youtube.com/watch?v=VHR3mW5e_Pg,Hailey Rhode Bieber,0:09:11,0:10:47,4,改变自己的想法
A091,https://www.youtube.com/watch?v=BMQTuPv-b-I,pearlieee,0:01:04,0:02:39,3,处理友谊的失衡
A092,https://www.youtube.com/watch?v=BMQTuPv-b-I,pearlieee,0:05:06,0:06:12,3,对象老开我玩笑让我不自信
A093,https://www.youtube.com/watch?v=j8ULGptJ1IA,pearlieee,0:04:38,0:06:30,4,跳舞的好处
